Sammy Kaye,spotify:artist:54LBMS0P9mMkhfxsp73k1D
Alma Cogan,spotify:artist:0oGo1uX2IixGBLb3fsiVnK
Freddy Martin,spotify:artist:2OEK1q1OHoeR0Dc3WUgeIc
Gordon Jenkins,spotify:artist:58wzyK6DupVsypvs3QV2Fo
Claude Thornhill,spotify:artist:6ThTN0WCRCAtG00Htf7CUW
Hugo Winterhalter,spotify:artist:5WVQxyLSWuV7XpjDlgNY53
Gracie Fields,spotify:artist:3Ld1hAQ5LWFw46Pv8VS5tP
The Rat Pack,spotify:artist:75kHCUYCZGNvAfSyoEuJTz
Mitzi Gaynor,spotify:artist:3RWxCgaw6DuD472vn1HyV6
Frankie Carle,spotify:artist:40SRPccslwLmXEIf9hZUJu
Johnny Marks,spotify:artist:6UdAtUl2rb8AxzQ6uQRhzC
Bing Crosby & The Andrews Sisters,spotify:artist:19bdhxSxc6383pyuqm7InR
The Harry Simeone Choir,spotify:artist:745hzEHs7usyJ2UTAzaCVR
Haven Gillespie,spotify:artist:51nvixgCPpTDKq0Nj27epq
The Lennon Sisters,spotify:artist:6FQRjLSuGHEAdioKxIGBdZ
The Bachelors,spotify:artist:0qDtyCZRYrja9CoeHXV6FD
Russ Conway,spotify:artist:3CH93c2rBMyBq9eeWBCQ60
Ronnie Hilton,spotify:artist:3EdBvBQhLB43ayLxB3gf6M
Mabel Scott,spotify:artist:2xgA5c4rkG2BRnjU6ICV09
Harry Reser,spotify:artist:16jMupMDfpxj6ZqfH8KV1N
Judith Durham,spotify:artist:3LMGpcWnpB6O6AzUm1JEvR
Alice Faye,spotify:artist:7Jr5Krm7sO2as96uMoDfhK
Dorothy Dandridge,spotify:artist:6QffDdWdkrkfdqfyfuqceC
Don Cornell,spotify:artist:2Oe27JVtJqG8OLkgYDGzvS
Mantovani,spotify:artist:4l2d1CRNjXgG4RBoA89Kle
Jane Morgan,spotify:artist:4CVHH6NpR8WwHLYjgI4t7A
"Bing Crosby, Les Paul Trio",spotify:artist:2XMuzSvIXZHM8xFKCcBtV0
